TagId,Time.local,NodeId,TagRSSI
1919552D,2022-03-08T12:56:09Z,379611,-105
1919552D,2022-03-08T12:56:14Z,379611,-108
1919552D,2022-03-08T12:56:19Z,379611,-109
1919552D,2022-03-08T12:56:24Z,379611,-103
1919552D,2022-03-08T12:56:29Z,379611,-98
1919552D,2022-03-08T12:56:34Z,379611,-105
1919552D,2022-03-08T12:56:39Z,379611,-105
1919552D,2022-03-08T12:56:44Z,379611,-107
1919552D,2022-03-08T12:56:49Z,379611,-109
1919552D,2022-03-08T12:56:54Z,379611,-110
1919552D,2022-03-08T12:57:26Z,379611,-112
1919552D,2022-03-08T12:57:51Z,379611,-107
1919552D,2022-03-08T12:56:34Z,328840,-85
1919552D,2022-03-08T12:56:39Z,328840,-84
1919552D,2022-03-08T12:56:44Z,328840,-88
1919552D,2022-03-08T12:56:49Z,328840,-89
1919552D,2022-03-08T12:56:54Z,328840,-82
1919552D,2022-03-08T12:57:10Z,328840,-105
1919552D,2022-03-08T12:57:26Z,328840,-85
1919552D,2022-03-08T12:57:31Z,328840,-84
1919552D,2022-03-08T12:57:56Z,328840,-84
1919552D,2022-03-08T12:58:01Z,328840,-84
1919552D,2022-03-08T12:58:06Z,328840,-95
1919552D,2022-03-08T12:58:11Z,328840,-97
1919552D,2022-03-08T12:58:16Z,328840,-93
1919552D,2022-03-08T12:58:21Z,328840,-88
1919552D,2022-03-08T12:54:54Z,32820a,-108
1919552D,2022-03-08T12:56:49Z,3774a7,-97
1919552D,2022-03-08T12:56:54Z,3774a7,-98
1919552D,2022-03-08T12:57:10Z,3774a7,-104
1919552D,2022-03-08T12:57:26Z,3774a7,-103
1919552D,2022-03-08T12:57:31Z,3774a7,-105
1919552D,2022-03-08T12:57:56Z,3774a7,-102
1919552D,2022-03-08T12:58:01Z,3774a7,-106
1919552D,2022-03-08T12:58:06Z,3774a7,-106
1919552D,2022-03-08T12:58:11Z,3774a7,-96
1919552D,2022-03-08T12:54:54Z,3290ef,-92
1919552D,2022-03-08T12:55:24Z,3290ef,-107
1919552D,2022-03-08T12:58:31Z,3774a7,-105
1919552D,2022-03-08T12:55:34Z,3290ef,-107
1919552D,2022-03-08T12:55:49Z,3290ef,-110
1919552D,2022-03-08T12:55:54Z,3290ef,-107
1919552D,2022-03-08T12:58:46Z,3774a7,-101
1919552D,2022-03-08T12:56:24Z,3290ef,-112
1919552D,2022-03-08T12:56:34Z,3290ef,-109
1919552D,2022-03-08T12:59:19Z,3290ef,-110
1919552D,2022-03-08T12:59:24Z,3290ef,-107
1919552D,2022-03-08T12:59:14Z,3774a7,-98
1919552D,2022-03-08T12:59:19Z,3774a7,-105
1919552D,2022-03-08T12:59:24Z,3774a7,-103
1919552D,2022-03-08T12:57:10Z,3775bf,-88
1919552D,2022-03-08T12:57:26Z,3775bf,-90
1919552D,2022-03-08T12:57:31Z,3775bf,-92
1919552D,2022-03-08T12:57:51Z,3775bf,-85
1919552D,2022-03-08T12:57:56Z,3775bf,-97
1919552D,2022-03-08T12:58:01Z,3775bf,-99
1919552D,2022-03-08T12:58:06Z,3775bf,-100
1919552D,2022-03-08T12:58:11Z,3775bf,-102
1919552D,2022-03-08T12:58:21Z,3775bf,-101
1919552D,2022-03-08T12:58:31Z,3775bf,-83
1919552D,2022-03-08T12:58:36Z,3775bf,-86
1919552D,2022-03-08T12:58:41Z,3775bf,-105
1919552D,2022-03-08T12:58:46Z,3775bf,-97
1919552D,2022-03-08T12:58:51Z,3775bf,-90
1919552D,2022-03-08T12:59:13Z,3775bf,-95
1919552D,2022-03-08T12:59:18Z,3775bf,-95
1919552D,2022-03-08T12:59:23Z,3775bf,-85
1919552D,2022-03-08T12:59:50Z,3775bf,-86
1919552D,2022-03-08T12:57:52Z,3288000000,-89
1919552D,2022-03-08T12:57:57Z,3288000000,-91
1919552D,2022-03-08T12:58:02Z,3288000000,-100
1919552D,2022-03-08T12:58:07Z,3288000000,-95
1919552D,2022-03-08T12:58:12Z,3288000000,-95
1919552D,2022-03-08T12:58:17Z,3288000000,-96
1919552D,2022-03-08T12:58:22Z,3288000000,-96
1919552D,2022-03-08T12:58:32Z,3288000000,-85
1919552D,2022-03-08T12:58:37Z,3288000000,-90
1919552D,2022-03-08T12:58:42Z,3288000000,-99
1919552D,2022-03-08T12:58:47Z,3288000000,-103
1919552D,2022-03-08T12:58:52Z,3288000000,-87
1919552D,2022-03-08T12:59:20Z,3288000000,-96
1919552D,2022-03-08T12:59:25Z,3288000000,-90
1919552D,2022-03-08T12:58:16Z,379611,-108
1919552D,2022-03-08T12:59:51Z,3288000000,-90
1919552D,2022-03-08T12:58:31Z,379611,-111
1919552D,2022-03-08T12:58:36Z,379611,-112
1919552D,2022-03-08T12:58:41Z,379611,-105
1919552D,2022-03-08T12:58:46Z,379611,-107
1919552D,2022-03-08T12:59:18Z,379611,-107
1919552D,2022-03-08T12:59:23Z,379611,-108
1919552D,2022-03-08T12:59:50Z,379611,-107
1919552D,2022-03-08T12:57:51Z,37774c,-105
1919552D,2022-03-08T12:58:01Z,37774c,-98
1919552D,2022-03-08T12:58:06Z,37774c,-97
1919552D,2022-03-08T12:58:11Z,37774c,-92
1919552D,2022-03-08T12:58:16Z,37774c,-105
1919552D,2022-03-08T12:58:21Z,37774c,-97
1919552D,2022-03-08T12:58:31Z,37774c,-99
1919552D,2022-03-08T12:58:36Z,37774c,-107
1919552D,2022-03-08T12:58:41Z,37774c,-106
1919552D,2022-03-08T12:58:46Z,37774c,-99
1919552D,2022-03-08T12:58:51Z,37774c,-103
1919552D,2022-03-08T12:59:13Z,37774c,-95
1919552D,2022-03-08T12:59:18Z,37774c,-101
1919552D,2022-03-08T12:59:23Z,37774c,-90
1919552D,2022-03-08T12:59:50Z,37774c,-96
1919552D,2022-03-08T12:59:50Z,37a200,-108
1919552D,2022-03-08T13:00:40Z,37a200,-107
1919552D,2022-03-08T12:56:19Z,376095,-110
1919552D,2022-03-08T12:56:34Z,376095,-111
1919552D,2022-03-08T12:57:51Z,376095,-103
1919552D,2022-03-08T12:57:56Z,376095,-105
1919552D,2022-03-08T12:58:01Z,376095,-104
1919552D,2022-03-08T12:58:06Z,376095,-106
1919552D,2022-03-08T12:58:16Z,376095,-109
1919552D,2022-03-08T12:58:21Z,376095,-108
1919552D,2022-03-08T12:58:31Z,376095,-108
1919552D,2022-03-08T12:58:36Z,376095,-109
1919552D,2022-03-08T12:58:41Z,376095,-109
1919552D,2022-03-08T12:59:14Z,376095,-109
1919552D,2022-03-08T13:00:26Z,376095,-110
1919552D,2022-03-08T13:00:41Z,376095,-110
1919552D,2022-03-08T12:58:31Z,328840,-81
1919552D,2022-03-08T12:58:36Z,328840,-84
1919552D,2022-03-08T12:58:41Z,328840,-93
1919552D,2022-03-08T12:58:46Z,328840,-85
1919552D,2022-03-08T12:58:51Z,328840,-87
1919552D,2022-03-08T12:59:14Z,328840,-93
1919552D,2022-03-08T12:59:19Z,328840,-88
1919552D,2022-03-08T12:59:24Z,328840,-98
1919552D,2022-03-08T13:00:05Z,328840,-90
1919552D,2022-03-08T13:00:10Z,328840,-88
1919552D,2022-03-08T13:00:26Z,328840,-78
1919552D,2022-03-08T13:00:31Z,328840,-85
1919552D,2022-03-08T13:00:36Z,328840,-90
1919552D,2022-03-08T13:00:41Z,328840,-78
1919552D,2022-03-08T13:00:46Z,328840,-78
1919552D,2022-03-08T13:00:51Z,328840,-81
1919552D,2022-03-08T13:00:56Z,328840,-78
1919552D,2022-03-08T13:01:01Z,328840,-69
1919552D,2022-03-08T12:56:29Z,37a5e9,-107
1919552D,2022-03-08T12:56:39Z,37a5e9,-98
1919552D,2022-03-08T12:56:49Z,37a5e9,-100
1919552D,2022-03-08T12:57:26Z,37a5e9,-103
1919552D,2022-03-08T12:57:31Z,37a5e9,-100
1919552D,2022-03-08T12:57:51Z,37a5e9,-101
1919552D,2022-03-08T12:58:01Z,37a5e9,-101
1919552D,2022-03-08T12:58:06Z,37a5e9,-100
1919552D,2022-03-08T12:58:11Z,37a5e9,-105
1919552D,2022-03-08T12:58:16Z,37a5e9,-109
1919552D,2022-03-08T12:58:36Z,37a5e9,-109
1919552D,2022-03-08T12:58:41Z,37a5e9,-105
1919552D,2022-03-08T12:59:50Z,37a5e9,-98
1919552D,2022-03-08T13:00:10Z,37a5e9,-103
1919552D,2022-03-08T13:00:26Z,37a5e9,-107
1919552D,2022-03-08T13:00:31Z,37a5e9,-96
1919552D,2022-03-08T13:00:41Z,37a5e9,-96
1919552D,2022-03-08T13:00:45Z,37a5e9,-100
1919552D,2022-03-08T13:00:50Z,37a5e9,-96
1919552D,2022-03-08T13:00:55Z,37a5e9,-101
1919552D,2022-03-08T13:01:00Z,37a5e9,-90
1919552D,2022-03-08T13:01:10Z,37a5e9,-107
1919552D,2022-03-08T13:01:15Z,37a5e9,-86
1919552D,2022-03-08T12:56:53Z,377905,-102
1919552D,2022-03-08T12:57:31Z,377905,-105
1919552D,2022-03-08T12:58:31Z,377905,-108
1919552D,2022-03-08T13:00:25Z,377905,-99
1919552D,2022-03-08T13:00:30Z,377905,-105
1919552D,2022-03-08T13:00:40Z,377905,-96
1919552D,2022-03-08T13:00:45Z,377905,-100
1919552D,2022-03-08T13:00:55Z,377905,-107
1919552D,2022-03-08T13:01:00Z,377905,-95
1919552D,2022-03-08T13:01:05Z,377905,-99
1919552D,2022-03-08T13:01:10Z,377905,-97
1919552D,2022-03-08T13:00:05Z,3774a7,-103
1919552D,2022-03-08T13:00:10Z,3774a7,-103
1919552D,2022-03-08T13:00:26Z,3774a7,-104
1919552D,2022-03-08T13:00:31Z,3774a7,-101
1919552D,2022-03-08T13:00:36Z,3774a7,-95
1919552D,2022-03-08T13:01:01Z,3774a7,-83
1919552D,2022-03-08T13:01:11Z,3774a7,-84
1919552D,2022-03-08T13:01:16Z,3774a7,-87
1919552D,2022-03-08T13:00:50Z,377bc2,-109
1919552D,2022-03-08T13:01:05Z,377bc2,-109
1919552D,2022-03-08T13:01:15Z,377bc2,-98
1919552D,2022-03-08T13:00:05Z,3775bf,-87
1919552D,2022-03-08T13:00:10Z,3775bf,-90
1919552D,2022-03-08T13:00:25Z,3775bf,-93
1919552D,2022-03-08T13:00:30Z,3775bf,-87
1919552D,2022-03-08T13:00:35Z,3775bf,-81
1919552D,2022-03-08T13:00:40Z,3775bf,-79
1919552D,2022-03-08T13:00:45Z,3775bf,-87
1919552D,2022-03-08T13:00:50Z,3775bf,-96
1919552D,2022-03-08T13:00:55Z,3775bf,-86
1919552D,2022-03-08T13:01:00Z,3775bf,-86
1919552D,2022-03-08T13:01:05Z,3775bf,-84
1919552D,2022-03-08T13:01:10Z,3775bf,-82
1919552D,2022-03-08T13:01:15Z,3775bf,-68
1919552D,2022-03-08T13:01:30Z,3775bf,-74
1919552D,2022-03-08T13:01:35Z,3775bf,-76
1919552D,2022-03-08T13:01:40Z,3775bf,-76
1919552D,2022-03-08T13:01:45Z,3775bf,-77
1919552D,2022-03-08T13:01:50Z,3775bf,-73
1919552D,2022-03-08T13:01:55Z,3775bf,-76
1919552D,2022-03-08T13:02:00Z,3775bf,-82
1919552D,2022-03-08T13:02:05Z,3775bf,-76
1919552D,2022-03-08T13:02:10Z,3775bf,-72
1919552D,2022-03-08T13:02:15Z,3775bf,-66
1919552D,2022-03-08T13:02:28Z,3775bf,-63
1919552D,2022-03-08T13:02:33Z,3775bf,-73
1919552D,2022-03-08T13:02:38Z,3775bf,-79
1919552D,2022-03-08T13:02:43Z,3775bf,-78
1919552D,2022-03-08T13:02:48Z,3775bf,-79
1919552D,2022-03-08T13:00:06Z,3288000000,-100
1919552D,2022-03-08T13:00:11Z,3288000000,-108
1919552D,2022-03-08T13:00:27Z,3288000000,-86
1919552D,2022-03-08T13:00:32Z,3288000000,-93
1919552D,2022-03-08T13:00:37Z,3288000000,-84
1919552D,2022-03-08T13:00:42Z,3288000000,-88
