,Y,X
625,-93,524.437
626,-98,814.654
627,-98,814.654
628,-92,390.41700000000003
629,-92,390.41700000000003
630,-94,444.883
631,-94,444.883
632,-105,746.467
633,-105,746.467
634,-99,699.0889999999999
635,-96,689.532
636,-96,689.532
637,-102,675.689
638,-102,675.689
639,-78,127.57099999999998
640,-78,127.57099999999998
641,-82,248.135
642,-102,592.884
643,-90,826.7099999999999
644,-90,826.7099999999999
645,-92,551.551
646,-92,551.551
647,-96,314.094
648,-96,314.094
649,-91,239.30599999999998
650,-91,239.30599999999998
651,-99,248.99699999999999
652,-92,840.229
653,-92,840.229
654,-106,882.779
655,-106,882.779
656,-81,377.31
657,-81,377.31
658,-101,330.01000000000005
659,-95,550.294
660,-95,550.294
661,-86,118.423
662,-91,525.2869999999999
663,-91,525.2869999999999
664,-106,446.465
665,-106,446.465
666,-103,677.336
667,-84,249.515
668,-84,249.515
669,-90,827.64
670,-90,827.64
671,-106,540.49
672,-106,540.49
673,-104,250.74400000000003
674,-104,250.74400000000003
675,-81,378.041
676,-81,378.041
677,-92,701.298
678,-97,946.639
679,-105,816.228
680,-105,816.228
681,-95,392.115
682,-95,392.115
683,-107,747.8900000000001
684,-107,747.8900000000001
685,-106,700.2429999999999
686,-106,700.2429999999999
687,-99,690.99
688,-99,690.99
689,-81,127.13
690,-81,127.13
691,-80,246.731
692,-80,246.731
693,-94,552.791
694,-94,552.791
695,-96,313.81
696,-96,313.81
697,-84,238.274
698,-84,238.274
699,-94,840.854
700,-105,331.738
701,-97,550.643
702,-97,550.643
703,-93,966.386
704,-93,966.386
705,-89,537.003
706,-89,537.003
707,-102,414.03299999999996
708,-102,414.03299999999996
709,-97,467.211
710,-97,467.211
711,-99,766.635
712,-99,766.635
713,-94,715.662
714,-94,715.662
715,-97,709.781
716,-91,698.8259999999999
717,-91,698.8259999999999
718,-77,123.965
719,-77,123.965
720,-77,254.817
721,-77,254.817
722,-99,613.952
723,-98,894.567
724,-96,697.5120000000001
725,-96,697.5120000000001
726,-89,840.217
727,-89,840.217
728,-89,569.3340000000001
729,-89,569.3340000000001
730,-87,226.072
731,-87,226.072
732,-92,849.557
733,-103,902.169
734,-103,902.169
735,-78,388.426
736,-78,388.426
737,-91,354.21999999999997
738,-96,556.0
739,-96,556.0
740,-101,536.7729999999999
741,-101,536.7729999999999
742,-101,838.481
743,-101,838.481
744,-105,468.932
745,-105,468.932
746,-105,716.1039999999999
747,-105,716.1039999999999
748,-90,713.283
749,-90,713.283
750,-100,700.77
751,-100,700.77
752,-77,121.828
753,-77,121.828
754,-110,751.301
755,-83,254.07600000000002
756,-83,254.07600000000002
757,-83,144.749
758,-83,144.749
759,-96,697.382
760,-96,697.382
